researcher_name,obrss_name,correct_match
International Journal of Web Engineering and Technology3(2):139-156,International Journal of Web Engineering and Technology,yes
Int. J. Intell. Games & Simulation2(1):28-35,Computers and Games,no
International Journal of Computer Games Technology2010:4,Computers and Games,no
4th International Conference on Geographic Information Science,iConference,no
Telecommunication Systems52(4):2667-2675,Telecommunication Networkds,no
Artificial Intelligence Review27(4 SPEC. ISS.):209-222,Revue d'Intelligence Artificielle,no
Educational Data Mining613-614,Educational Data Mining,yes
Multimedia Tools and Applications48(1):141-159,Multimedia Systems,no
4th International Conference on Geographic Information Science,Informatica,no
Journal of Visual Languages and Computing18(3):255-279,International Journal of Computers and Applications,no
Journal of Intelligent Information Systems35(2):301-331,International Journal of Intelligent Information and Database Systems,no
Artificial Intelligence and Law27(1),Inteligencia Artificial,no
International Journal of Geographical Information Science24(5):741-760,International Journal of Geographical Information Science,yes
Knowledge and Information Systems45(2):473-490,Foundations of Information and Knowledge Systems,no
International Journal of Web Engineering and Technology3(2):139-156,International Journal of Web and Semantic Technology,no
Knowledge and Information Systems37(1):61-81,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,no
Computational Intelligence35(2):285-309,Computational Intelligence,yes
Computational Intelligence35(2):285-309,Artificial Intelligence and Computational Intelligence,no
International Journal of Geographical Information Science27(10):2099-2118,Informatica,no
4th International Conference on Geographic Information Science,Scandinavian Research Conference on Geographical Information Science,no
19th IEEE International Conference on Mobile Data Management,International Conference on Management of Data,no
Artificial Intelligence Review25(1-2):55-65,Computing Reviews,no
"Proceedings of the 14th International AAAI Conference on Web and Social Media, ICWSM 2020229-239",The AAAI Conference on Artificial Intelligence,no
Cooperative Information Agents,Conference on Cooperative Information Systems,no
Journal on Multimodal User Interfaces12(1):31-39,Intelligent User Interfaces,no
"Proceedings - 25th IEEE International Parallel and Distributed Processing Symposium, IPDPS 20111114-1123",International Conference on Parallel Processing,no
Virtual Reality18(2):139-159,Virtual Reality Interactions and Physical Simulations,no
HT 2018 - Proceedings of the 29th ACM Conference on Hypertext and Social Media251-252,International Conference on Social Computing,no
"2019 11th International Conference on Quality of Multimedia Experience, QoMEX 2019",International Conference on Quality Software,no
International Journal on Artificial Intelligence Tools21(2),Artificial Intelligence,no
Information Visualization7(3-4):275-286,Information Visualization,yes
"International Conference on Information and Knowledge Management, Proceedings55-62",iConference,no
International Journal of Geographical Information Science21(8):895-906,International Journal of Geographical Information Science,yes
International Journal of Communication Networks and Distributed Systems6(1):3-11,International Journal of Communication Networks and Distributed Systems,yes
Knowledge and Information Systems45(2):473-490,Knowledge and Information Systems,yes
Software - Practice and Experience47(11):1837-1874,Software Engineering Research and Practice,no
"25th International World Wide Web Conference, WWW 2016879-889",iConference,no
Knowledge and Information Systems37(1):61-81,Systems,no
FLAIRS 2006 - Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference2006:86-91,International Florida Artificial Intelligence Research Society Conference,yes
International Journal of Communication Networks and Distributed Systems6(1):3-11,Journal of Communications and Networks,no
Journal of Visual Languages and Computing18(3):255-279,Journal of Computers,no
Computers in Entertainment8(4),Computers in Entertainment,yes
Mathematics of Computation84(293):1389-1399,Mathematical Programming Computation,no
Journal on Multimodal User Interfaces7(1-2):19-28,International Conference on Multimodal Interfaces,no
Recent Patents on Computer Science2(1):21-31,Recent Patents on Computer Science,yes
International Journal on Artificial Intelligence Tools14(1-2):61-76,Artificial Intelligence,no
Artificial Intellingence Review,Revue d'Intelligence Artificielle,no
Journal of Systems Architecture57(4):383-391,Journal of Systems Architecture,yes
International Journal of Intelligent Games & Simulation2(1):28-35,International Journal of Intelligent Games & Simulation,yes
International Journal on Artificial Intelligence Tools14(1/2):61-76,Inteligencia Artificial,no
Proceedings of the 9th Workshop on Algorithm Engineering and Experiments and the 4th Workshop on Analytic Algorithms and Combinatorics3-12,Computing and Combinatorics,no
International Journal of Multimedia and Ubiquitous Engineering3(2):103-116,Journal of Web Engineering,no
Information Fusion6(1):83-98,Information Fusion,yes
Concurrency Computation Practice and Experience21(3):321-336,Concurrency and Computation: Practice & Experience,yes
19th IEEE International Conference on Mobile Data Management,International Conference on Mobile Networks and Management,no
Information Fusion6(1):83-98,Informatica,no
Virtual Reality,Virtual Reality,yes
International Journal of Geographical Information Science20(5):511-534,Informatica,no
"2019 11th International Conference on Quality of Multimedia Experience, QoMEX 2019",International Journal of Information Quality,no
Web and Wireless Geographical Information Systems7236:151-166,Wireless and Mobile Systems,no
International Journal of Digital Crime and Forensics2(1):1-20,International Journal of Digital Crime and Forensics,yes
Telecommunication Systems52(4):2667-2675,Telecommunication  Systems,yes
Journal on Multimodal User Interfaces7(1-2):19-28,Intelligent User Interfaces,no
"Proceedings - IEEE 7th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2014376-382","International Conference on Software Testing, Verification, and Validation",yes
International Journal of Computational Intelligence and Applications01(01):71-82,Computation,no
Annual ACM Symposium on Parallelism in Algorithms and Architectures181-187,ACM Symposium on Parallelism in Algorithms and Architectures,yes
"International Journal of Parallel, Emergent and Distributed Systems34(6):671-689",Parallel and Distributed Computing Systems,no
Journal of Intelligent Information Systems35(2):301-331,Journal of Intelligent Systems,no
"International Journal of Parallel, Emergent and Distributed Systems34(6):671-689",International Conference on Parallel and Distributed Systems,no
Natural Language Engineering19(3):357-384,Workshop on Natural Language Processing and Ontology Engineering,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium Workshops and PhD Forum, IPDPSW 201384-92",International Parallel and Distributed Processing Symposium,yes
Knowledge Engineering Review33,Data & Knowledge Engineering,no
International Journal of Multimedia and Ubiquitous Engineering3(2):103-116,International Journal of Multimedia and Ubiquitous Engineering,yes
International Journal of Computational Intelligence and Applications01(01):71-82,Computational Intelligence,no
Artificial Intelligence and Law27(1),International Conference on Artificial Intelligence,no
"Proceedings - IEEE International Conference on Data Mining, ICDM53-60",Mining,no
International Journal of Digital Crime and Forensics2(1):1-20,International Journal of Digital Crime and Forensics,yes
International Journal of Human Computer Studies69(4):251-268,Conference of the Australian Computer-Human Interaction,no
"International Conference on Intelligent User Interfaces, Proceedings IUI2006:109-115",Australasian User Interface Conference,no
GeoInformatica5(4):345-373,Informatica,no
IJCAI International Joint Conference on Artificial Intelligence2244-2249,International Joint Conference on Artificial Intelligence,yes
International Journal of Geographical Information Science21(8):895-906,Informatica,no
COMPUTATIONAL INTELLIGENCE17(2):193-195 (3 pages),Computational Intelligence,yes
Educational Data Mining613-614,Mining,no
Journal of Intelligent Information Systems32(3):267-295,Journal of Intelligent Systems,no
Artificial Intelligence Review25(1-2):55-65,Inteligencia Artificial,no
Journal of Algorithms & Computational Technology3(4),Journal of Algorithms,no
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings3697-3701",Acoustics,no
Journal of Algorithms & Computational Technology3(4),Journal of Computational Information Systems,no
International Journal of Intelligent Games & Simulation2(1):28-35,International Journal of Computer Games Technology,no
GeoInformatica14(2):135-162,Geoinformatica,yes
COMPUTATIONAL INTELLIGENCE17(2):193-195 (3 pages),Computational Intelligence and Security,no
"ARCS Workshops, ARCS 2012",Workshops,no
Information Fusion6(1):83-98,Journal of Advances in Information Fusion,no
Information Fusion9(1):56-68,Journal of Advances in Information Fusion,no
International Journal of Computational Intelligence and Applications01(01):71-82,International Journal of Computational Geometry and Applications,no
International Journal of Computer Games Technology2010:4,International Journal of Computer Games Technology,yes
Computer Networks88:218-233,Local Computer Networks Workshops,no
Mathematics of Computation84(293):1389-1399,Mathematics and Computation in Music,no
Web and Wireless Geographical Information Systems7236:151-166,Geographic Information Systems,no
Evolving Systems4(1):13-25,Constraint Solving and Constraint Logic Programming CSCLP,no
Journal of Algorithms & Computational Technology3(4),Journal of Algorithms & Computational Technology,yes
International Journal of Geographical Information Science20(5):511-534,International Conference on Geographic Information Science,no
"Proceedings of the 2012 IEEE 26th International Parallel and Distributed Processing Symposium, IPDPS 2012836-847",International Conference on Parallel Processing,no
Algorithm Theory â€“ SWAT 20064059:53-64,Algorithmic Learning Theory,no
FLAIRS 2006 - Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference2006:86-91,Inteligencia Artificial,no
International Journal on Artificial Intelligence Tools21(2),International Conference on Artificial Intelligence,no
Natural Language Engineering19(3):357-384,International Conference on Natural Language Processing and Knowledge Engineering,no
GeoInformatica14(2):135-162,e-Informatica,no
Journal on Multimodal User Interfaces12(1):31-39,IEEE Symposium on 3D User Interfaces,no
Journal of Algorithms & Computational Technology3(4),Computation,no
International Journal of Geographical Information Science30(5):835-853,Informatica,no
International Symposium on Spatial Data Handling,International Symposium on Spatial Data Handling,yes
ACM Transactions on Design Automation of Electronic Systems15(3),Automation,no
Evolving Systems4(1):13-25,Parallel Problem Solving from Nature,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium Workshops and PhD Forum, IPDPSW 201384-92",Workshops,no
"Proceedings - IEEE 7th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2014376-382",Validation,no
International Journal of Web Engineering and Technology3(2):196-216,International Journal of Web Engineering and Technology,yes
Journal on Multimodal User Interfaces8(1):87-96,IEEE Symposium on 3D User Interfaces,no
"Proceedings of the 2009 Conference in Games and Virtual Worlds for Serious Applications, VS-GAMES 2009161-165",Software World,no
"International Conference on Intelligent User Interfaces, Proceedings IUI2006:109-115",Journal on Multimodal User Interfaces,no
Artificial Intelligence and Law27(1),Computers and Artificial Intelligence,no
IEEE Transactions on Services Computing7(3):359-372,Computers and translation,no
International Journal of Geographical Information Science21(7),International Journal of Geographical Information Science,yes
"International Journal of Parallel, Emergent and Distributed Systems34(6):671-689",Journal of Parallel and Distributed Computing,no
Telecommunication Systems52(4):2667-2675,International Conference on Telecommunications,no
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings3697-3701","IEEE Transactions on Acoustics, Speech, and Signal Processing",no
Journal of Intelligent Information Systems35(2):301-331,Journal of Intelligent Information Systems,yes
ACM Transactions on Algorithms4(4),ACM Transactions on the Web,no
Algorithm Theory â€“ SWAT 20064059:53-64,Algorithmica,no
Journal of Ambient Intelligence and Smart Environments2(3):253-269,International Symposium on Ambient Intelligence,no
Journal of Systems Architecture57(4):383-391,Systems,no
International Journal of Geographical Information Science20(5):511-534,International Journal of Geographical Information Science,yes
Journal of Visual Languages and Computing18(3):255-279,Symposium on Visual Languages and Human-Centric Computing,no
FLAIRS 2006 - Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference2006:86-91,Artificial Intelligence,no
Expert Systems ,Visual Information Expert Workshop,no
International Journal of Multimedia and Ubiquitous Engineering3(2):103-116,Journal of Software Engineering,no
Proceedings of the VLDB Endowment13(9):1582-1597,VLDB Workshop on Data Mining in Bioinformatics,no
Journal on Multimodal User Interfaces8(1):87-96,International Conference on Multimodal Interfaces,no
International Journal of Communication Networks and Distributed Systems6(2):176-201,International Journal of Communication Networks and Distributed Systems,yes
Cooperative Information Agents,Informatica,no
International Journal of Human Computer Studies64(8):637-647,Journal of Human-Robot Interaction,no
International Journal of Geographical Information Science20(5):511-534,Informatica,no
Artificial Intelligence and Law27(1),International Conference on Artificial Intellgence and Law,yes
Concurrency Computation Practice and Experience24(9):992-1014,Information Security Practice and Experience,no
International Journal of Geographical Information Science27(10):2099-2118,Journal of Computer Science,no
International Journal of Intelligent Games & Simulation2(1):28-35,Computers and Games,no
Knowledge Engineering Review33,Bioengineering,no
"2011 Proceedings of the 13th Workshop on Algorithm Engineering and Experiments, ALENEX 2011139-150",Workshop on the Algorithmic Foundations of Robotics,no
"ACM Transactions on Multimedia Computing, Communications and Applications6(1)",ACM Transactions on Multimedia Computing Communications and Applications,yes
International Journal of Geographical Information Science30(5):835-853,International Conference on Geographic Information Science,no
Information Visualization7(3-4),Visualization and Information Security Management,no
"2013 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2013245-246",International Symposium on Computer and Information Sciences,no
Artificial Intellingence Review,International Conference on Artificial Intelligence,no
Recent Patents on Computer Science2(1):21-31,Recent Patents on Computer Science,yes
Algorithm Theory â€“ SWAT 20064059:53-64,Symposium on Algorithmic Game Theory,no
COSN 2014 - Proceedings of the 2014 ACM Conference on Online Social Networks51-62,International Conference on Social Computing,no
International Journal of Data Warehousing and Mining8(1):24-51,International Conference on Data Mining,no
Journal of Visual Languages and Computing18(3):255-279,Journal of Visual Languages and Computing,yes
Knowledge and Information Systems37(1):61-81,Foundations of Information and Knowledge Systems,no
ACM Inroads10(2):42-49,ACM Inroads,yes
IJCAI International Joint Conference on Artificial Intelligence2244-2249,iConference,no
Annual ACM Symposium on Parallelism in Algorithms and Architectures181-187,"International Symposium on Parallel Architectures, Algorithms and Networks",no
Digital Investigation22:46-61,"Journal of the Institution of Engineers (India), Part CP: Computer Engineering Division",no
Artificial Intelligence and Law27(1),Artificial Intelligence,no
Journal of Complex Networks2(1):19-37,Networks,no
Knowledge and Information Systems37(1):61-81,Knowledge and Information Systems,yes
Virtual Reality18(2):139-159,Virtual Reality Software and Technology,no
19th IEEE International Conference on Mobile Data Management,"Management""",no
Information Visualization7(3-4):275-286,International Conference on Information Visualization Theory and Applications,no
Information Fusion6(1):83-98,Informatica,no
Multimedia Systems10(5):392-401,Multimedia Systems,yes
International journal of neural systems10(4):267-279,International Journal of Cognitive Informatics and Natural Intelligence,no
IJCAI International Joint Conference on Artificial Intelligence2244-2249,Inteligencia Artificial,no
Journal of Algorithms & Computational Technology3(4),Journal of Computational Biology,no
"2013 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2013245-246",IEE Proceedings - Software,no
GeoInformatica14(2):135-162,Informatica,no
International Journal on Artificial Intelligence Tools14(1/2):61-76,International Conference on Artificial Intelligence,no
ACM Transactions on Design Automation of Electronic Systems15(3),Design,no
Cooperative Information Agents,Informatica,no
Digital Investigation22:46-61,Digital Investigation,yes
"Proceedings of the 14th International AAAI Conference on Web and Social Media, ICWSM 2020229-239",International Conference on Artificial Intelligence,no
International Journal of Geographical Information Science27(10):2099-2118,Informatica,no
Artificial Intelligence in Medicine24(1):51-70,Artificial Intelligence,no
Knowledge Engineering Review33,Knowledge Engineering Review,yes
Artificial Intelligence Review25(1-2):179-191,Artificial Intelligence Review,yes
Computer Networks88:218-233,Journal of Computer Networks and Communications,no
FLAIRS 2006 - Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference2006:86-91,FLAIRS Conference,no
COMPUTATIONAL INTELLIGENCE17(2):193-195 (3 pages),Artificial Intelligence and Computational Intelligence,no
"2013 IEEE International Symposium on Mixed and Augmented Reality, ISMAR 2013245-246",Information Sciences and Technology,no
ACM Transactions on Algorithms4(4),ACM Transactions on Graphics,no
Multimedia Systems10(5):392-401,Embedded Systems for Real-Time Multimedia (ESTImedia),no
Information Visualization7(3-4),International Conference on Information Visualization Theory and Applications,no
GeoInformatica5(4):345-373,Informatica,no
International journal of neural systems10(4):267-279,Applications of Natural Language to Information systems,no
International Journal on Artificial Intelligence Tools14(1-2):61-76,International Journal on Artificial Intelligence Tools,yes
Artificial Intelligence Review27(4 SPEC. ISS.):209-222,Inteligencia Artificial,no
Web and Wireless Geographical Information Systems7236:151-166,Web and Wireless Geographical Information Systems,yes
Software - Practice and Experience47(11):1837-1874,Concurrency and Computation: Practice & Experience,no
"Proceedings of the 14th International AAAI Conference on Web and Social Media, ICWSM 2020229-239",iConference,no
"Proceedings - IEEE 7th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2014376-382",International Conference on Testing Software and Systems,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium, IPDPS 2013407-417",International Conference on Parallel Processing,no
Digital Investigation10(1):34-43,"Journal of the Institution of Engineers (India), Part CP: Computer Engineering Division",no
"International Conference on Intelligent User Interfaces, Proceedings IUI2006:109-115",I U I: International Conference on Intelligent User Interfaces. Pr,yes
Neural Computing and Applications,Network Computing and Applications,no
International Journal of Web Engineering and Technology6(4):354-374,International Journal of Web and Semantic Technology,no
"2011 Proceedings of the 13th Workshop on Algorithm Engineering and Experiments, ALENEX 2011139-150",Journal of Algorithms,no
"2011 Proceedings of the 13th Workshop on Algorithm Engineering and Experiments, ALENEX 2011139-150",Workshops,no
"Proceedings - IEEE 7th International Conference on Software Testing, Verification and Validation Workshops, ICSTW 2014376-382",Workshops,no
Proceedings of the 9th Workshop on Algorithm Engineering and Experiments and the 4th Workshop on Analytic Algorithms and Combinatorics3-12,Journal of Algorithms,no
"IEEE International Workshop on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems - Proceedings409-417",Modeling,no
Journal on Multimodal User Interfaces12(1):31-39,International Conference on Multimodal Interfaces,no
International Journal of Computer Games Technology2010:4,Technologies,no
ACM Transactions on Design Automation of Electronic Systems15(2),International Journal of Design,no
International Journal of Human Computer Studies64(8):637-647,International Journal of Technology and Human Interaction,no
International Journal of Web Engineering and Technology6(4):354-374,Journal of Web Engineering,no
IEEE Intelligent Systems130-135,IEEE Intelligent Systems,yes
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings3697-3701",SIGDIAL Conferences,no
IEEE Intelligent Systems130-135,IEEE Symposium on Swarm Intelligence,no
Knowledge Engineering Review33,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,no
Virtual Reality18(2):139-159,The International Journal of Virtual Reality,no
COMPUTATIONAL INTELLIGENCE17(2):193-195 (3 pages),International Journal of Computational Intelligence and Applications,no
Personal and Ubiquitous Computing19(8):1233-1245,International Conference on Computers for Handicapped Persons,no
Multimedia Systems10(5):392-401,Distributed Multimedia Systems,no
International Journal on Artificial Intelligence Tools21(2),International Conference on Tools with Artificial Intelligence,no
Journal of Parallel and Distributed Computing73(10):1362-1374,Journal of Computers,no
"ACM Transactions on Multimedia Computing, Communications and Applications6(1)",Computers and translation,no
"ARCS Workshops, ARCS 2012",EvoWorkshops,no
GeoInformatica14(2):135-162,Informatica,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium, IPDPS 2013407-417",International Conference on Parallel and Distributed Systems,no
ACM Transactions on Design Automation of Electronic Systems15(3),International Journal of Design,no
Expert Systems ,Database and Expert Systems Applications,no
Artificial Intelligence Review26(1-2):23-34,Artificial Intelligence Review,yes
International Journal of Geographical Information Science21(8):895-906,Journal of Computer Science,no
International Journal of Data Warehousing and Mining8(1):24-51,Mining,no
Language Resources and Evaluation47(1):239-268,Validation,no
International Journal of Geographical Information Science30(5):835-853,Informatica,no
Neural Computing and Applications,Applications,no
Cooperative Information Agents,Cooperative Information Agents,yes
"International Conference on Intelligent User Interfaces, Proceedings IUI2006:109-115",iConference,no
IEEE Transactions on Services Computing7(3):359-372,IEEE Transactions on Network and Service Management,no
International Journal of Data Warehousing and Mining8(1):24-51,International Journal of Data Warehousing and Mining,yes
International Journal of Multimedia and Ubiquitous Engineering3(2):103-116,Bioengineering,no
Journal of Intelligent Information Systems32(3):267-295,Information Systems Journal,no
Artificial Intelligence in Medicine24(1):51-70,Inteligencia Artificial,no
International Journal of Web Engineering and Technology3(2):139-156,Journal of Web Engineering,no
Computers in Entertainment8(4),Advances in Computers,no
GeoInformatica5(4):345-373,e-Informatica,no
"Proceedings of the 2009 Conference in Games and Virtual Worlds for Serious Applications, VS-GAMES 2009161-165",International Conference on Games and Virtual Worlds for Serious Applications,yes
Journal on Multimodal User Interfaces12(1):31-39,Australasian User Interface Conference,no
Computational Intelligence35(2):285-309,Computational Intelligence,yes
Expert Systems,Expert Systems,yes
Proceedings of the VLDB Endowment13(9):1582-1597,Proceedings of the VLDB Endowment,yes
Mathematics of Computation84(293):1389-1399,Mathematics of Computation,yes
GeoInformatica16(3):409-434,Informatica,no
Proceedings of the 9th Workshop on Algorithm Engineering and Experiments and the 4th Workshop on Analytic Algorithms and Combinatorics3-12,Algorithm Engineering and Experimentation,yes
19th IEEE International Conference on Mobile Data Management,International Conference on Mobile Data Management,yes
ACM Transactions on Design Automation of Electronic Systems15(2),ACM Transactions on Design Automation of Electronic Systems,yes
Information Fusion9(1):56-68,Informatica,no
Journal of Intelligent Information Systems35(2):301-331,Australian Journal of Intelligent Information Processing Systems,no
Knowledge and Information Systems37(1):61-81,Information Systems,no
"Proceedings of the 2009 Conference in Games and Virtual Worlds for Serious Applications, VS-GAMES 2009161-165",Serious Games Development and Applications,no
Algorithm Theory â€“ SWAT 20064059:53-64,Workshops,no
"Proceedings - 25th IEEE International Parallel and Distributed Processing Symposium, IPDPS 20111114-1123",International Parallel and Distributed Processing Symposium,yes
"Proceedings of the 14th International AAAI Conference on Web and Social Media, ICWSM 2020229-239",International AAAI Conference on Web and Social Media,yes
19th IEEE International Conference on Mobile Data Management,iConference,no
WWW 2015 Companion - Proceedings of the 24th International Conference on World Wide Web1545,Australian World Wide Web Conference,no
International Journal of Computer Games Technology2010:4,Journal of Computing and Information Technology,no
"International Journal of Parallel, Emergent and Distributed Systems34(6):671-689","International Journal of Parallel, Emergent and Distributed Systems",yes
International Journal on Artificial Intelligence Tools21(2),Inteligencia Artificial,no
Artificial Intelligence in Medicine24(1):51-70,European Society for Artificial Intelligence in Medicine,yes
ACM Transactions on Algorithms4(4),Algorithmica,no
Software - Practice and Experience47(11):1837-1874,Information Security Practice and Experience,no
International Journal of Human Computer Studies64(8):637-647,Conference of the Australian Computer-Human Interaction,no
Journal of Systems Architecture57(4):383-391,Architecture of Computing Systems,no
Computational Intelligence35(2):285-309,Computational Intelligence and Security,no
IEEE Intelligent Systems130-135,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,no
Educational Data Mining613-614,IEEE International Conference on Data Mining,no
Expert Systems ,International Workshop on Database and Expert Systems Appli,no
Journal of Parallel and Distributed Computing73(10):1362-1374,International Journal of Parallel and Distributed Systems and Networks,no
International Journal of Ambient Computing and Intelligence2(3):19-39,International Journal of Intelligent Systems,no
Journal on Multimodal User Interfaces8(1):87-96,Australasian User Interface Conference,no
IEEE Transactions on Services Computing7(3):359-372,Services,no
WWW 2015 Companion - Proceedings of the 24th International Conference on World Wide Web1545,International World Wide Web Conference,yes
Computer Networks88:218-233,Computer Networks,yes
Information Fusion6(1):83-98,Information Fusion and Geographical Information Systems,no
IEEE Transactions on Services Computing7(3):359-372,IEEE Transactions on Services Computing,yes
Annual ACM Symposium on Parallelism in Algorithms and Architectures181-187,Architectures,no
"25th International World Wide Web Conference, WWW 2016879-889",International World Wide Web Conference,yes
Journal of Complex Networks2(1):19-37,International Journal of Network Security,no
HT 2018 - Proceedings of the 29th ACM Conference on Hypertext and Social Media251-252,ACM Conference on Hypertext and Hypermedia,yes
Personal and Ubiquitous Computing19(8):1233-1245,Personal and Ubiquitous Computing,yes
International journal of neural systems10(4):267-279,Systems,no
Journal on Multimodal User Interfaces12(1):31-39,Journal on Multimodal User Interfaces,yes
Natural Language Engineering19(3):357-384,Natural Language Engineering,yes
International Journal on Artificial Intelligence Tools14(1/2):61-76,International Journal on Artificial Intelligence Tools,yes
Journal of Ambient Intelligence and Smart Environments2(3):253-269,International Journal of Ambient Computing and Intelligence,no
Information Visualization7(3-4),Information Visualization,yes
International Journal of Human Computer Studies69(4):251-268,International Journal of Human-Computer Studies,yes
Int. J. Intell. Games & Simulation2(1):28-35,International Journal of Intelligent Games & Simulation,yes
Computational Intelligence35(2):285-309,International Joint Conference on Computational Intelligence,no
International Journal of Geographical Information Science27(10):2099-2118,International Journal of Geographical Information Science,yes
Proceedings of the 9th Workshop on Algorithm Engineering and Experiments and the 4th Workshop on Analytic Algorithms and Combinatorics3-12,ACM Journal of Experimental Algorithmics,no
International Journal of Web Engineering and Technology6(4):354-374,WEB,no
Journal on Multimodal User Interfaces7(1-2):19-28,Journal on Multimodal User Interfaces,yes
International Journal of Multimedia and Ubiquitous Engineering3(2):103-116,FTRA International Conference on Multimedia and Ubiquitous Engineering,no
Concurrency Computation Practice and Experience24(9):992-1014,Software: Practice and Experience,no
"ACM Transactions on Multimedia Computing, Communications and Applications6(1)",Communication,no
"Proceedings - IEEE 27th International Parallel and Distributed Processing Symposium, IPDPS 2013407-417",International Symposium on Parallel and Distributed Processing and Applications,no
"International Conference on Information and Knowledge Management, Proceedings55-62",Informatica,no
Web and Wireless Geographical Information Systems7236:151-166,Informatica,no
Information Visualization7(3-4):275-286,Visualization and Information Security Management,no
Journal on Multimodal User Interfaces8(1):87-96,Intelligent User Interfaces,no
International Journal of Ambient Computing and Intelligence2(3):19-39,Journal of Ambient Intelligence and Smart Environments,no
Computers in Entertainment8(4),Artificial Intelligence and Interactive Digital Entertainment,no
Neural Computing and Applications,Neural Computing and Applications,yes
GeoInformatica16(3):409-434,Informatica,no
International Journal of Communication Networks and Distributed Systems6(1):3-11,Communication,no
GeoInformatica14(2):135-162,Symposium on Bioinformatics,no
International Journal of Human Computer Studies64(8):637-647,International Journal of Mobile Human Computer Interaction,no
WWW 2015 Companion - Proceedings of the 24th International Conference on World Wide Web1545,Computation,no
Neural Computing and Applications,Natural Computing,no
Journal of Complex Networks2(1):19-37,Simplifying Complex Networks for Practitioners,no
International Journal of Geographical Information Science20(5):511-534,Journal of Computer Science,no
Knowledge and Information Systems45(2):473-490,International Conference on Knowledge-Based and Intelligent Information & Engineering Systems,no
"2019 11th International Conference on Quality of Multimedia Experience, QoMEX 2019",iConference,no
ACM Transactions on Design Automation of Electronic Systems15(3),Design Automation Conference,no
Multimedia Tools and Applications48(1):141-159,"Workshop on Language Descriptions, Tools and Applications",no
"2019 11th International Conference on Quality of Multimedia Experience, QoMEX 2019",Quality of Multimedia Experience,yes
Journal on Multimodal User Interfaces8(1):87-96,Journal on Multimodal User Interfaces,yes
