researcher_name,obrss_name,correct_match,publication_channel,best_match_score,fuzz_ratio,fuzz_partial_ratio,fuzz_token_sort_ratio,kmpMatch,BM_badCharMatch,rabinKarpMatch
Information Fusion ,Journal of Advances in Information Fusion,no,Other,0.038432249,60,97,61,0,0,0
Information Fusion ,Journal of Advances in Information Fusion,no,Other,0.038432249,60,97,61,0,0,0
International Journal of Computational Intelligence and Applications ,International Journal of Computational Geometry and Applications,no,Journal,0.335336324,87,84,89,0,0,0
International Journal of Computer Games Technology ,International Journal of Computer Games Technology,yes,Journal,0.396454247,99,100,100,1,1,1
Computer Networks ,Local Computer Networks Workshops,no,Other,0.046598,71,100,68,0,0,0
Mathematics of Computation ,Mathematics and Computation in Music,no,Other,0.038612083,79,89,77,0,0,0
Web and Wireless Geographical Information Systems ,Geographic Information Systems,no,Other,-0.005869709,75,93,76,0,0,0
Evolving Systems ,Constraint Solving and Constraint Logic Programming CSCLP,no,Other,-1,30,47,22,0,0,0
Journal of Algorithms Computational Technology ,Journal of Algorithms & Computational Technology,yes,Journal,0.357318997,97,96,100,0,0,0
International Journal of Geographical Information Science ,International Conference on Geographic Information Science,no,Journal,0.058571429,86,86,82,0,0,0
Proceedings of the  IEEE  International Parallel and Distributed Processing Symposium IPDPS  ,International Conference on Parallel Processing,no,Conference,-0.184508715,47,66,59,0,0,0
Algorithm Theory Ã¢â‚¬â€œ SWAT  ,Algorithmic Learning Theory,no,Other,0.006460668,59,59,75,0,0,0
FLAIRS  Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference ,Inteligencia Artificial,no,Conference,-0.28948675,30,65,35,0,0,0
International Journal on Artificial Intelligence Tools ,International Conference on Artificial Intelligence,no,Journal,0.187039858,83,86,76,0,0,0
Natural Language Engineering ,International Conference on Natural Language Processing and Knowledge Engineering,no,Other,0.078141197,51,76,51,0,0,0
GeoInformatica ,e-Informatica,no,Other,-1,86,92,89,0,0,0
Journal on Multimodal User Interfaces ,IEEE Symposium on 3D User Interfaces,no,Journal,0.031217125,59,61,60,0,0,0
Journal of Algorithms Computational Technology ,Computation,no,Journal,-1,38,100,39,1,1,1
International Journal of Geographical Information Science ,Informatica,no,Journal,-1,29,82,29,0,0,0
International Symposium on Spatial Data Handling ,International Symposium on Spatial Data Handling,yes,Conference,0.3112605,99,100,100,1,1,1
ACM Transactions on Design Automation of Electronic Systems ,Automation,no,Journal,-0.210720997,29,100,29,1,1,1
Evolving Systems ,Parallel Problem Solving from Nature,no,Other,-1,34,53,27,0,0,0
Proceedings IEEE  International Parallel and Distributed Processing Symposium Workshops and PhD Forum IPDPSW  ,Workshops,no,Conference,-0.378342896,15,100,16,1,1,1
Proceedings IEEE  International Conference on Software Testing Verification and Validation Workshops ICSTW  ,Validation,no,Conference,-0.39569979,17,100,17,1,1,1
International Journal of Web Engineering and Technology ,International Journal of Web Engineering and Technology,yes,Journal,0.579033527,99,100,100,1,1,1
Journal on Multimodal User Interfaces ,IEEE Symposium on 3D User Interfaces,no,Journal,0.031217125,59,61,60,0,0,0
Proceedings of the  Conference in Games and Virtual Worlds for Serious Applications VSGAMES  ,Software World,no,Conference,-1,21,57,23,0,0,0
International Conference on Intelligent User Interfaces Proceedings IUI ,Journal on Multimodal User Interfaces,no,Conference,-0.049400873,48,65,50,0,0,0
Artificial Intelligence and Law ,Computers and Artificial Intelligence,no,Other,0.149760541,67,84,79,0,0,0
IEEE Transactions on Services Computing ,Computers and translation,no,Journal,-1,31,40,62,0,0,0
International Journal of Geographical Information Science ,International Journal of Geographical Information Science,yes,Journal,0.396454247,99,100,100,1,1,1
International Journal of Parallel Emergent and Distributed Systems ,Journal of Parallel and Distributed Computing,no,Journal,0.182464109,66,80,63,0,0,0
Telecommunication Systems ,International Conference on Telecommunications,no,Other,-1,50,82,56,0,0,0
ICASSP IEEE International Conference on Acoustics Speech and Signal Processing Proceedings ,"IEEE Transactions on Acoustics, Speech, and Signal Processing",no,Conference,0.341765639,71,79,62,0,0,0
Journal of Intelligent Information Systems ,Journal of Intelligent Information Systems,yes,Journal,0.313684543,99,100,100,1,1,1
ACM Transactions on Algorithms ,ACM Transactions on the Web,no,Journal,0.087740138,79,78,70,0,0,0
Algorithm Theory Ã¢â‚¬â€œ SWAT  ,Algorithmica,no,Other,-1,46,75,61,0,0,0
Journal of Ambient Intelligence and Smart Environments ,International Symposium on Ambient Intelligence,no,Journal,-0.086333548,53,57,59,0,0,0
Journal of Systems Architecture ,Systems,no,Journal,-0.060205999,36,100,37,1,1,1
International Journal of Geographical Information Science ,International Journal of Geographical Information Science,yes,Journal,0.396454247,99,100,100,1,1,1
Journal of Visual Languages and Computing ,Symposium on Visual Languages and Human-Centric Computing,no,Journal,0.107163668,71,67,71,0,0,0
FLAIRS  Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference ,Artificial Intelligence,no,Conference,-0.25938375,34,100,35,1,1,1
Expert Systems ,Visual Information Expert Workshop,no,Other,-0.026872666,33,53,38,0,0,0
International Journal of Multimedia and Ubiquitous Engineering ,Journal of Software Engineering,no,Journal,0.057149469,53,52,52,0,0,0
Proceedings of the VLDB Endowment ,VLDB Workshop on Data Mining in Bioinformatics,no,Conference,-0.203942674,30,32,38,0,0,0
Journal on Multimodal User Interfaces ,International Conference on Multimodal Interfaces,no,Journal,0.046598,67,77,67,0,0,0
International Journal of Communication Networks and Distributed Systems ,International Journal of Communication Networks and Distributed Systems,yes,Journal,0.527096749,99,100,100,1,1,1
Cooperative Information Agents ,Informatica,no,Other,-1,43,82,44,0,0,0
International Journal of Human Computer Studies ,Journal of Human-Robot Interaction,no,Journal,0.09847475,54,65,72,0,0,0
International Journal of Geographical Information Science ,Informatica,no,Journal,-1,29,82,29,0,0,0
Artificial Intelligence and Law ,International Conference on Artificial Intellgence and Law,yes,Other,0.233333333,67,97,67,0,0,0
Concurrency Computation Practice and Experience ,Information Security Practice and Experience,no,Other,0.046598,70,73,51,0,0,0
International Journal of Geographical Information Science ,Journal of Computer Science,no,Journal,0.055518208,52,56,60,0,0,0
International Journal of Intelligent Games Simulation ,Computers and Games,no,Journal,-0.129691875,33,47,25,0,0,0
Knowledge Engineering Review ,Bioengineering,no,Journal,-1,56,79,52,0,0,0
 Proceedings of the  Workshop on Algorithm Engineering and Experiments ALENEX  ,Workshop on the Algorithmic Foundations of Robotics,no,Conference,0.089673203,46,57,62,0,0,0
ACM Transactions on Multimedia Computing Communications and Applications ,ACM Transactions on Multimedia Computing Communications and Applications,yes,Journal,0.481647993,99,100,100,1,1,1
International Journal of Geographical Information Science ,International Conference on Geographic Information Science,no,Journal,0.058571429,86,86,82,0,0,0
Information Visualization ,Visualization and Information Security Management,no,Other,0.02857775,43,62,68,0,0,0
 IEEE International Symposium on Mixed and Augmented Reality ISMAR  ,International Symposium on Computer and Information Sciences,no,Conference,-0.018190745,59,63,62,0,0,0
Artificial Intellingence Review ,International Conference on Artificial Intelligence,no,Journal,-0.006162173,55,72,63,0,0,0
Recent Patents on Computer Science ,Recent Patents on Computer Science,yes,Other,0.232990001,99,100,100,1,1,1
Algorithm Theory Ã¢â‚¬â€œ SWAT  ,Symposium on Algorithmic Game Theory,no,Other,-0.030395464,51,59,63,0,0,0
COSN  Proceedings of the  ACM Conference on Online Social Networks ,International Conference on Social Computing,no,Conference,-0.106280833,47,57,57,0,0,0
International Journal of Data Warehousing and Mining ,International Conference on Data Mining,no,Journal,-0.019483738,67,67,66,0,0,0
Journal of Visual Languages and Computing ,Journal of Visual Languages and Computing,yes,Journal,0.396454247,99,100,100,1,1,1
Knowledge and Information Systems ,Foundations of Information and Knowledge Systems,no,Other,0.15563025,59,59,81,0,0,0
ACM Inroads ,ACM Inroads,yes,Other,0.040137333,96,100,100,1,1,1
IJCAI International Joint Conference on Artificial Intelligence ,iConference,no,Conference,-1,29,91,30,0,0,0
Annual ACM Symposium on Parallelism in Algorithms and Architectures ,"International Symposium on Parallel Architectures, Algorithms and Networks",no,Conference,0.217541333,68,70,76,0,0,0
Digital Investigation ,"Journal of the Institution of Engineers (India), Part CP: Computer Engineering Division",no,Other,-1,26,59,29,0,0,0
Artificial Intelligence and Law ,Artificial Intelligence,no,Other,0.060205999,84,100,85,1,1,1
Journal of Complex Networks ,Networks,no,Journal,-0.060205999,44,100,46,1,1,1
Knowledge and Information Systems ,Knowledge and Information Systems,yes,Other,0.160549331,99,100,100,1,1,1
Virtual Reality ,Virtual Reality Software and Technology,no,Other,0.02857775,58,100,56,0,0,0
 IEEE International Conference on Mobile Data Management ,"Management""",no,Conference,-0.148950942,29,91,31,0,0,0
Information Visualization ,International Conference on Information Visualization Theory and Applications,no,Other,-0.056795831,50,100,49,0,0,0
Information Fusion ,Informatica,no,Other,-1,60,82,62,0,0,0
Multimedia Systems ,Multimedia Systems,yes,Other,0.040137333,97,100,100,1,1,1
International journal of neural systems ,International Journal of Cognitive Informatics and Natural Intelligence,no,Journal,0.032048359,59,70,55,0,0,0
IJCAI International Joint Conference on Artificial Intelligence ,Inteligencia Artificial,no,Conference,-0.070609341,46,70,53,0,0,0
Journal of Algorithms Computational Technology ,Journal of Computational Biology,no,Journal,0.097292833,76,69,69,0,0,0
 IEEE International Symposium on Mixed and Augmented Reality ISMAR  ,IEE Proceedings - Software,no,Conference,-1,28,38,27,0,0,0
GeoInformatica ,Informatica,no,Other,-1,85,100,88,1,1,1
International Journal on Artificial Intelligence Tools ,International Conference on Artificial Intelligence,no,Journal,0.187039858,83,86,76,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,Design,no,Journal,-0.190652331,18,100,18,1,1,1
Cooperative Information Agents ,Informatica,no,Other,-1,43,82,44,0,0,0
Digital Investigation ,Digital Investigation,yes,Other,0.067780792,98,100,100,1,1,1
Proceedings of the  International AAAI Conference on Web and Social Media ICWSM  ,International Conference on Artificial Intelligence,no,Conference,-0.21594557,53,67,53,0,0,0
International Journal of Geographical Information Science ,Informatica,no,Journal,-1,29,82,29,0,0,0
Artificial Intelligence in Medicine ,Artificial Intelligence,no,Other,0.060205999,78,100,79,1,1,1
Knowledge Engineering Review ,Knowledge Engineering Review,yes,Journal,0.164207126,98,100,100,1,1,1
Artificial Intelligence Review ,Artificial Intelligence Review,yes,Journal,0.203342376,98,100,100,1,1,1
Computer Networks ,Journal of Computer Networks and Communications,no,Other,0.004463119,55,100,53,0,0,0
FLAIRS  Proceedings of the Nineteenth International Florida Artificial Intelligence Research Society Conference ,FLAIRS Conference,no,Conference,-0.319589749,26,65,27,0,0,0
COMPUTATIONAL INTELLIGENCE  pages ,Artificial Intelligence and Computational Intelligence,no,Other,0.044301957,20,21,67,0,0,0
 IEEE International Symposium on Mixed and Augmented Reality ISMAR  ,Information Sciences and Technology,no,Conference,-0.271303002,43,46,42,0,0,0
ACM Transactions on Algorithms ,ACM Transactions on Graphics,no,Journal,0.080274666,78,79,83,0,0,0
Multimedia Systems ,Embedded Systems for Real-Time Multimedia (ESTImedia),no,Other,-0.028169935,36,68,52,0,0,0
Information Visualization ,International Conference on Information Visualization Theory and Applications,no,Other,-0.056795831,50,100,49,0,0,0
GeoInformatica ,Informatica,no,Other,-1,85,100,88,1,1,1
International journal of neural systems ,Applications of Natural Language to Information systems,no,Journal,-0.094200805,53,53,60,0,0,0
International Journal on Artificial Intelligence Tools ,International Journal on Artificial Intelligence Tools,yes,Journal,0.441903003,99,100,100,1,1,1
Artificial Intelligence Review SPEC ISS ,Inteligencia Artificial,no,Journal,0.000343332,38,52,71,0,0,0
Web and Wireless Geographical Information Systems ,Web and Wireless Geographical Information Systems,yes,Other,0.441903003,99,100,100,1,1,1
Software Practice and Experience ,Concurrency and Computation: Practice & Experience,no,Other,0.073127334,58,73,58,0,0,0
Proceedings of the  International AAAI Conference on Web and Social Media ICWSM  ,iConference,no,Conference,-1,24,91,25,0,0,0
Proceedings IEEE  International Conference on Software Testing Verification and Validation Workshops ICSTW  ,International Conference on Testing Software and Systems,no,Conference,0.094033032,55,71,62,0,0,0
Proceedings IEEE  International Parallel and Distributed Processing Symposium IPDPS  ,International Conference on Parallel Processing,no,Conference,-0.097652501,50,66,60,0,0,0
Digital Investigation ,"Journal of the Institution of Engineers (India), Part CP: Computer Engineering Division",no,Other,-1,26,59,29,0,0,0
International Conference on Intelligent User Interfaces Proceedings IUI ,I U I: International Conference on Intelligent User Interfaces. Pr,yes,Conference,0.398364341,84,88,86,0,0,0
Neural Computing and Applications ,Network Computing and Applications,no,Other,0.080274666,88,88,90,0,0,0
International Journal of Web Engineering and Technology ,International Journal of Web and Semantic Technology,no,Journal,0.412679739,81,79,80,0,0,0
 Proceedings of the  Workshop on Algorithm Engineering and Experiments ALENEX  ,Journal of Algorithms,no,Conference,-0.243367667,32,67,33,0,0,0
 Proceedings of the  Workshop on Algorithm Engineering and Experiments ALENEX  ,Workshops,no,Conference,-1,20,89,19,0,0,0
Proceedings IEEE  International Conference on Software Testing Verification and Validation Workshops ICSTW  ,Workshops,no,Conference,-0.375631124,15,100,16,1,1,1
Proceedings of the  Workshop on Algorithm Engineering and Experiments and the  Workshop on Analytic Algorithms and Combinatorics ,Journal of Algorithms,no,Conference,-0.237326593,23,67,24,0,0,0
IEEE International Workshop on Modeling Analysis and Simulation of Computer and Telecommunication Systems Proceedings ,Modeling,no,Conference,-0.448416881,13,100,13,1,1,1
Journal on Multimodal User Interfaces ,International Conference on Multimodal Interfaces,no,Journal,0.046598,67,77,67,0,0,0
International Journal of Computer Games Technology ,Technologies,no,Journal,-1,29,78,29,0,0,0
ACM Transactions on Design Automation of Electronic Systems ,International Journal of Design,no,Journal,-0.102802872,37,55,40,0,0,0
International Journal of Human Computer Studies ,International Journal of Technology and Human Interaction,no,Journal,0.163503538,69,65,65,0,0,0
International Journal of Web Engineering and Technology ,Journal of Web Engineering,no,Journal,0.192954404,63,100,64,1,1,1
IEEE Intelligent Systems ,IEEE Intelligent Systems,yes,Other,0.127986791,98,100,100,1,1,1
ICASSP IEEE International Conference on Acoustics Speech and Signal Processing Proceedings ,SIGDIAL Conferences,no,Conference,-1,27,58,33,0,0,0
IEEE Intelligent Systems ,IEEE Symposium on Swarm Intelligence,no,Other,-0.034332107,52,48,67,0,0,0
Knowledge Engineering Review ,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,no,Journal,-0.134610956,33,48,51,0,0,0
Virtual Reality ,The International Journal of Virtual Reality,no,Other,0.008329249,50,97,51,0,0,0
COMPUTATIONAL INTELLIGENCE  pages ,International Journal of Computational Intelligence and Applications,no,Other,-0.004989595,18,21,56,0,0,0
